,uuid,source,orig_id,snap_dist,u,v,key,osmid,oneway,lanes,name,highway,type_highway,maxspeed,junction,length,from,to,ref,tunnel,bridge,service,access,road_width,area,est_width,reversed,landuse
27,22aab2fb-fcc3-47d6-a857-70227723494c,Mapillary,500236801200574,0.6201867141570822,6936852467,8197479364,0,881424252,False,2,Rue du Grenier à Sel,footway,walk,30,,89.868,8197479364,6936852467,,,,,,,,,True,
28,21da6685-c215-4b47-9a7d-8fefb790fcb2,Mapillary,2935461220075965,0.1238249605591728,7787863274,7787863281,0,"[1004092382, 1004092383]",False,3,Wellington Street East,footway,walk,50.0,,192.533,7787863281,7787863274,15.0,,,,,,,,True,
29,19c9cb57-4eb9-452a-966f-3da37a6a8a8a,Mapillary,908523803329750,0.6113861398661762,1415448875,1415449154,0,127997824,False,,Emmernstraße,pedestrian,walk,,,87.167,1415449154,1415448875,,,,,,,,,True,
30,175b878c-d03a-4655-b02f-759312fe58cc,Mapillary,1351283651916585,9.0103960335351,5922821619,9274488940,0,627424161,False,,,footway,walk,,,58.654,9274488940,5922821619,,,,,,,,,True,
31,112eaf30-08be-450a-82f0-ebe271c1027a,Mapillary,776765546363571,3.5929088522603974,7787863245,7787863246,0,"[834272998, 1004092359]",False,4,Wellington Street West,footway,walk,50.0,,85.164,7787863246,7787863245,15.0,,,,,,,,True,
32,08291c85-45e9-4b7e-9c7f-8319df8cacaa,Mapillary,1032840184186814,3.2928222367886613,6019179175,9098642521,0,984025411,False,,Rue Charles d'Orléans,footway,walk,50,,25.229,9098642521,6019179175,,,,,,,,,True,
33,05752827-e598-41ab-b2ad-4db807a6b54a,Mapillary,982334042549854,5.225815603464,390285399,6412004970,0,30341807,False,,Rue Sainte-Catherine,pedestrian,walk,,,55.919,6412004970,390285399,,,,,,,,,True,
34,013626b6-b16f-44d4-b3cc-909b58841580,Mapillary,523933542098228,2.941344511262793,8207107957,8207107958,0,882498854,False,2,Industrial Parkway South,footway,walk,50.0,,120.111,8207107958,8207107957,,,,,,,,,True,
35,009700da-2ab7-4e51-96ed-7bc3bc8df153,Mapillary,524061098757516,0.7718470949294942,1804025275,5923790480,0,"[371660202, 627529117]",False,1,Rue Jules Lemaitre,footway,walk,50,,7.416,5923790480,1804025275,,,,,,,,,True,
36,eb94b1f3-8f42-450f-affc-aae9824b58fe,KartaView,1504505833,3.1159970509748853,1804025195,1804025261,0,169237667,False,,,footway,walk,,,12.552,1804025261,1804025195,,,,,,,,,,
37,d919a705-e19d-4924-9c61-ca66378d49d7,KartaView,1504508409,0.3957228608922851,249481391,7545378237,0,30414538,True,,Rue Émile Davoust,residential,drive,30,,31.492,249481391,7545378237,,building_passage,,parking_aisle,,,,,,
38,6a6fc3fb-a4fc-482d-96dd-b8be1c66e74d,KartaView,440181229,2.2164530551667148,4409345339,7526428086,0,804645747,False,1.0,Rue du Canon,footway,walk,30,,5.809,7526428086,4409345339,,,,,,,,,,
39,195a2083-f4bb-40b8-96cf-06779a7f20b9,KartaView,1504508985,8.699400934267375,5926232646,5926232650,0,627750829,False,,,footway,walk,,,36.33,5926232650,5926232646,,,,,,,,,,
