,uuid,source,orig_id,mly_captured_at,kv_shotDate,datetime_local,lat,lon,timezone,utc_offset_s,calculated_day_night,hrs_aft_sunrise,hrs_aft_sunset
28,21da6685-c215-4b47-9a7d-8fefb790fcb2,Mapillary,2935461220075965,1583617040990.0,,2020-03-07 16:37:20.990000-05:00,44.000509459110646,-79.46405231952667,America/Toronto,-14400.0,day,,-1.62
29,19c9cb57-4eb9-452a-966f-3da37a6a8a8a,Mapillary,908523803329750,1572516324013.0,,2019-10-31 11:05:24.013000+01:00,52.10537505935619,9.357513785362244,Europe/Berlin,7200.0,day,3.84,
30,175b878c-d03a-4655-b02f-759312fe58cc,Mapillary,1351283651916585,1570806585867.0,,2019-10-11 17:09:45.867000+02:00,47.9060656146134,1.9091373682022093,Europe/Paris,7200.0,day,,-2.05
31,112eaf30-08be-450a-82f0-ebe271c1027a,Mapillary,776765546363571,1584292103990.0,,2020-03-15 13:08:23.990000-04:00,43.99909326031161,-79.47038233280182,America/Toronto,-14400.0,day,5.65,
32,08291c85-45e9-4b7e-9c7f-8319df8cacaa,Mapillary,1032840184186814,1628874408000.0,,2021-08-13 19:06:48+02:00,47.91267828626982,1.9089335203170776,Europe/Paris,7200.0,day,,-2.03
33,05752827-e598-41ab-b2ad-4db807a6b54a,Mapillary,982334042549854,1632329102388.0,,2021-09-22 18:45:02.388000+02:00,47.90220333725517,1.9049209356307983,Europe/Paris,7200.0,day,,-1.08
34,013626b6-b16f-44d4-b3cc-909b58841580,Mapillary,523933542098228,1535058447050.0,,2018-08-23 17:07:27.050000-04:00,43.99994221187882,-79.458167552948,America/Toronto,-14400.0,day,,-3.03
35,009700da-2ab7-4e51-96ed-7bc3bc8df153,Mapillary,524061098757516,1600443844155.0,,2020-09-18 17:44:04.155000+02:00,47.906216647537605,1.9113367795944207,Europe/Paris,7200.0,day,,-2.23
36,eb94b1f3-8f42-450f-affc-aae9824b58fe,KartaView,1504505833,,2022-05-30 14:09:20,2022-05-30 16:09:20+02:00,47.907059,1.912147,Europe/Paris,7200.0,day,,-5.53
37,d919a705-e19d-4924-9c61-ca66378d49d7,KartaView,1504508409,,2022-05-30 14:24:19,2022-05-30 16:24:19+02:00,47.903857,1.910698,Europe/Paris,7200.0,day,,-5.28
38,6a6fc3fb-a4fc-482d-96dd-b8be1c66e74d,KartaView,440181229,,2019-06-21 12:48:01,2019-06-21 14:48:01+02:00,47.898867,1.896275,Europe/Paris,7200.0,day,,-7.12
39,195a2083-f4bb-40b8-96cf-06779a7f20b9,KartaView,1504508985,,2022-05-30 14:28:25,2022-05-30 16:28:25+02:00,47.902728,1.910738,Europe/Paris,7200.0,day,,-5.22
