,uuid,source,orig_id,road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle,void
23,3a4b60ca-5f62-4a3a-a255-e16a211554a9,Mapillary,912307629327688,0.1015,0.015,0.0467,0.0182,0.0032,0.0063,0.0005,0.0017,0.2103,0.0,0.2273,0.0,0.0,0.3692,0.0001,0.0,0.0,0.0,0.0,0.0
24,3997a807-6d56-46e9-8675-337c2a505626,Mapillary,147369440641978,0.3437,0.0443,0.0415,0.0013,0.0097,0.0091,0.0,0.0049,0.2293,0.1109,0.0958,0.0009,0.0,0.1072,0.0015,0.0,0.0,0.0,0.0,0.0
25,278347a2-48df-4d48-9f06-f1c5c937fca8,Mapillary,297817391952511,0.4013,0.0905,0.412,0.0,0.0003,0.0014,0.0,0.0002,0.0,0.0,0.0,0.0677,0.0,0.003,0.01,0.0001,0.0,0.0021,0.0115,0.0
26,22deb7a3-0fc5-4723-9945-08e246b2e05c,Mapillary,162368295825256,0.3572,0.047,0.4532,0.0,0.0,0.0063,0.0,0.0008,0.0001,0.0,0.0275,0.0008,0.0,0.1071,0.0,0.0,0.0,0.0,0.0001,0.0
27,22aab2fb-fcc3-47d6-a857-70227723494c,Mapillary,500236801200574,0.0614,0.0094,0.3822,0.0,0.0046,0.0006,0.0,0.0005,0.0185,0.0,0.3743,0.0,0.0,0.141,0.0076,0.0,0.0001,0.0,0.0,0.0
28,21da6685-c215-4b47-9a7d-8fefb790fcb2,Mapillary,2935461220075965,0.1383,0.0124,0.0141,0.02,0.0084,0.0045,0.0,0.0004,0.2306,0.0,0.2482,0.0,0.0,0.3228,0.0003,0.0,0.0,0.0,0.0,0.0
29,19c9cb57-4eb9-452a-966f-3da37a6a8a8a,Mapillary,908523803329750,0.1915,0.0938,0.6302,0.0,0.0,0.0064,0.0,0.0003,0.013,0.0,0.0614,0.0008,0.0,0.0019,0.0,0.0,0.0,0.0,0.0007,0.0
30,175b878c-d03a-4655-b02f-759312fe58cc,Mapillary,1351283651916585,0.2796,0.1183,0.252,0.0,0.001,0.0033,0.0003,0.0022,0.2111,0.0087,0.0543,0.0265,0.0,0.0424,0.0,0.0,0.0,0.0002,0.0,0.0
31,112eaf30-08be-450a-82f0-ebe271c1027a,Mapillary,776765546363571,0.3676,0.0303,0.0002,0.0567,0.0,0.0052,0.0001,0.0018,0.3578,0.0119,0.1589,0.0,0.0,0.0092,0.0002,0.0,0.0,0.0,0.0,0.0
32,08291c85-45e9-4b7e-9c7f-8319df8cacaa,Mapillary,1032840184186814,0.1475,0.1282,0.1233,0.0071,0.0194,0.0059,0.0,0.0006,0.0474,0.0317,0.3334,0.0014,0.0006,0.1379,0.0,0.0,0.0001,0.0104,0.005,0.0
33,05752827-e598-41ab-b2ad-4db807a6b54a,Mapillary,982334042549854,0.3644,0.0975,0.2468,0.0132,0.0071,0.0034,0.0009,0.0039,0.022,0.0,0.1854,0.023,0.0143,0.0004,0.0019,0.0,0.0,0.0001,0.0158,0.0
34,013626b6-b16f-44d4-b3cc-909b58841580,Mapillary,523933542098228,0.4121,0.0065,0.0317,0.0079,0.0067,0.0181,0.0003,0.0,0.1883,0.1428,0.1085,0.0003,0.0003,0.0747,0.0,0.0,0.0015,0.0,0.0002,0.0
35,009700da-2ab7-4e51-96ed-7bc3bc8df153,Mapillary,524061098757516,0.0039,0.0168,0.0027,0.0044,0.252,0.044,0.0,0.0088,0.2373,0.0044,0.4254,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,eb94b1f3-8f42-450f-affc-aae9824b58fe,KartaView,1504505833,0.3615,0.001,0.0027,0.0004,0.0,0.0,0.0,0.0009,0.3583,0.1273,0.1272,0.0197,0.0,0.0009,0.0,0.0,0.0,0.0,0.0,0.0
37,d919a705-e19d-4924-9c61-ca66378d49d7,KartaView,1504508409,0.3048,0.0525,0.4095,0.0001,0.0,0.0019,0.0001,0.0046,0.0636,0.0,0.0899,0.0157,0.0195,0.0211,0.0,0.0,0.0,0.0,0.0165,0.0
38,6a6fc3fb-a4fc-482d-96dd-b8be1c66e74d,KartaView,440181229,0.3132,0.0564,0.4011,0.0001,0.0,0.0023,0.0,0.0,0.0423,0.0111,0.103,0.0,0.0,0.0706,0.0,0.0,0.0,0.0,0.0,0.0
39,195a2083-f4bb-40b8-96cf-06779a7f20b9,KartaView,1504508985,0.0061,0.0125,0.8508,0.0171,0.0,0.0,0.0,0.0,0.0632,0.0343,0.0158,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
