,uuid,source,orig_id,label_method,lat,lon,datetime_local,season,width,height,heading,projection_type,sequenceIndex,mly_sequenceId,kv_sequenceId,mly_captured_at,kv_shotDate,mly_camera_parameters,kv_cameraParameters,mly_quality_score,kv_qualityDetails,kv_qualityLevel,kv_qualityStatus,mly_altitude,mly_atomic_scale,mly_computed_altitude,mly_computed_compass_angle,mly_computed_geometry,mly_computed_rotation,mly_exif_orientation,mly_is_pano,mly_merge_cc,mly_mesh,mly_organization_id,mly_sfm_cluster,kv_autoImgProcessingResult,kv_autoImgProcessingStatus,kv_dateAdded,kv_dateProcessed,kv_distance,kv_fieldOfView,kv_filepath,kv_filepathLTh,kv_filepathProc,kv_filepathTh,kv_fileurl,kv_fileurlLTh,kv_fileurlProc,kv_fileurlTh,kv_from,kv_gpsAccuracy,kv_hasObd,kv_headers,kv_imagePartProjection,kv_isUnwrapped,kv_isWrapped,kv_matchLat,kv_matchLng,kv_matchSegmentId,kv_name,kv_orgCode,kv_projectionYaw,kv_rawDataId,kv_status,kv_storage,kv_to,kv_unwrapVersion,kv_videoId,kv_videoIndex,kv_visibility,kv_wayId,kv_wrapVersion
10,a794bad2-a826-47c7-8417-54ef6e9d3fd5,Mapillary,1085842441905172,Manual,43.999695245403046,-79.45855915546417,2018-08-23 17:07:30.367000-04:00,Summer,1920,1080,213.87542724609,,58,wmgif553rilysep2uvntjj,,1535058450367.0,,"[0.8, 0, 0]",,0.62156308851224,,,,0.0,,,,,,1.0,False,,"{'id': '625408368903643', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40361-6\\/An-A1BEsRmEEwLSy7OFmaqGI805OA4PSq0YcJOAWZTLeJVPek85pz6_Re5LBwRAqbpOdornzUKouZDF6iddk1MeOk9FzvIl5AKWVObXjpOzDQVdQHq8dq2jBSl6VV__R0_w?ccb=10-5&oh=00_AfBW9zdXfdlPDxnsq9f2PtFczyQYsPUoc-1_tgvdH8P2Mg&oe=643A79BA&_nc_sid=d122da'}",,{'id': '4378159792216010'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,a3ddd13d-a6bf-4abe-bc97-0e896ddbb58c,Mapillary,129497249124621,Manual,52.103342068675545,9.3520849943161,2018-10-13 10:44:39.507000+02:00,Autumn,3840,2160,152.68811035156,perspective,8,D96R7WdbR8aGeZ7jBRi06Q,,1539420279507.0,,"[0.74621255697042, 0.015509426723346, -0.010895257746124]",,0.5741568627451,,,,122.00465147658,1.0728884008058,1.9283083863556,155.2150490831,"{'type': 'Point', 'coordinates': [9.3521548935363, 52.103315246511]}","[0.41544163536996, -2.0513310916792, 1.8984512362872]",1.0,False,1.1279438999862e+18,"{'id': '1639478023107492', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40361-6\\/An_PKz8tqG_knFUsy6JrVqExYA3af9N1nm3DlowWnscZ8p8usVGoWhThN4dExlcFyp97AueLUQQvUvi4QaYegTI7_64byjrPEaMj2apMw1g8SGghN770UH33OqSnKabmq8rO?ccb=10-5&oh=00_AfAQrcPXVlcVyARZWG9BbUUE-Vl4JQtNlbjE79SADN1VVA&oe=643A76B1&_nc_sid=d122da'}",,"{'id': '3019097261652302', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40383-6\\/An--uNMjD13LiUuK-6xtDu7eP_W-GL1otaxw71jU_3EsGsoVJEkN17LJmkooIQNvTJgNmBSSLKaKEMWxrgvF4Rr_O6xK3u-lb18aJp8Oupngtj4hGvrY7Jc2jSYpH8h6bwzBZsZq2nFI?ccb=10-5&oh=00_AfDWj0wygBxwSf39h2-s45X--3eL6lfe9v7qiX7_VGaNOg&oe=643A82D1&_nc_sid=0f319a'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,97fb0fd9-6b8e-480b-967b-ab86c89f427b,Mapillary,2643856569248041,Manual,47.90784921339838,1.901434063911438,2016-10-08 16:13:03.352000+02:00,Autumn,3264,1840,248.58592998981,perspective,28,Bh1MsfXoRrSHWkoKX-y12A,,1475935983352.0,,"[0.85148489560195, 0.015854572224032, -0.0048542504965366]",,1.0,,,,106.0,0.97320713253631,2.1826600627974,240.69630326623,"{'type': 'Point', 'coordinates': [1.9013620797144, 47.907845041007]}","[0.87999028433283, 1.6685337124073, -1.4627287758992]",1.0,False,2.6383646953876e+18,"{'id': '203400028042128', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40361-6\\/An_CaGK2htjtUSvB_MfZ03INYag4ypIiPHi4mXdBldXh_AGd-4dzdoIykGPTX7pXe0X4OMR3lhL-hOAGvtQWHj-SVCPP46A6w6749LMcqgyCWcFEVU0PWVVY2HL3IXp1mH8?ccb=10-5&oh=00_AfB-vmaHycrS5PGYj6S7HDZM-h9aI6D-_xbX75VWHY19jg&oe=643A8649&_nc_sid=d122da'}",,"{'id': '341861767360052', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40383-6\\/An9s0enajxHPlGLcXerC7r1zru7Vuw-jaPp1Tvhdk81uQWcv1oYEQjHK3Noqi6Z0QsLSP4oPciVfdF0Go5TC9qFAxoa8FTTQ7ln43Q3d7N1UUzOs9MuQkDA88P_NiuqhXAJcVLluc9ZX?ccb=10-5&oh=00_AfB_YfbCRUD2n8jYpigaEr1MjDoSp76VGhNZYDX6tGSkPw&oe=643A7BEB&_nc_sid=0f319a'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,964c05a7-364a-4a23-9e36-b9dae57e6709,Mapillary,216443753376621,Manual,43.99931707599478,-79.45456802845001,2018-08-23 17:08:36.465000-04:00,Summer,1920,1080,72.515037536621,,187,dq3e7um47n8nf28rxqecim,,1535058516465.0,,"[0.8, 0, 0]",,0.85,,,,0.0,,,,,,1.0,False,,,,{'id': '480632686536215'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,8b301438-9498-489a-996e-2ec60cef760f,Mapillary,801320764136858,Manual,47.90944936564503,1.8957746028900144,2019-12-16 12:20:54.769000+01:00,Winter,3968,2240,327.04376220703,perspective,442,61zd9jmga8uklevjz4c0ja,,1576495254769.0,,"[0.75, 0, 0]",,1.0,,,,173.8319686015,1.0,1.9987812275067,319.66521731378,"{'type': 'Point', 'coordinates': [1.8957780668795, 47.909449015934]}","[1.4951804137475, 0.54024165008412, -0.56075223784302]",1.0,False,4.287927752829e+18,"{'id': '3078559722388895', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40361-6\\/An_NIUx1_WVkHe7jCX1E3vPMnWrt95Enl6SmgtY_UUOBjyYrM-1MDP5iKzZibvXjm3ILkdBGTt4aUXJp9UQo-Kr0IKMsq-5Hd3aTIkJguQHw3_G7Ux8dKYjgmV8eME0V_05B?ccb=10-5&oh=00_AfAZrHJ3-72S21xUI5ZumyGX-FL-Sdpu7AuCkpDUmmKjVw&oe=643A705B&_nc_sid=d122da'}",,"{'id': '142922784520654', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40383-6\\/An-kwtKNH2plrzhsNa6Uj_AyE3eO3nEEHfeaqnvuS-Ydgu6E6KMV4l2tpOprFVRPn1BrarUKgHMQj2BDtQlxNLUwjK9S45dcoyRGRpdvDIHFTbIYNyJOCHMKxCiFIg6i6nYDfascpF13?ccb=10-5&oh=00_AfDspVjgyZ0-PelXVIjGeLlksCBVcVF4gnL1-w6AS6nUBw&oe=643A6D75&_nc_sid=0f319a'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6fa67d91-0bf5-4914-a1c5-4859a6cedfbd,Mapillary,531109791599907,Manual,47.90383602969905,1.9089335203170776,2019-02-24 11:10:22.406000+01:00,Winter,3968,2976,235.29486083984,perspective,102,T6SEanMVTzCoAKYD3ctEnA,,1551003022406.0,,"[0.761745035556, 0.0103009035333, -0.0229966011864]",,0.83159100521641,,,,171.82397450461,1.0,2.0440786899999,195.94955856644,"{'type': 'Point', 'coordinates': [1.9089356627285, 47.903833978673]}","[0.26408986318944, 2.0552078937996, -2.0687302645578]",1.0,False,2.4689329499005e+18,,,"{'id': '239636051259597', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40383-6\\/An_EAt7ypk5HvWiuFQWrI0z9EWmujSfaEETE8WI-mnPPVEeVyu-MhU6uGIaoAcSgj3uUO-vRZhRF-yYmvtnUWCCP0JTjsEoNFrejuuFeiC1w3xf-Ef3_RS0-zR0SwRNJAO3eQbACXLbH?ccb=10-5&oh=00_AfB6u7_l3np5D96wMCkOQKRbu-8aESozCr7RnziafQ0v7Q&oe=643A6CDC&_nc_sid=0f319a'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6c0dcd34-b7da-4324-8541-61da9c879b2f,Mapillary,555931662062869,Manual,44.00011200073459,-79.45703566074371,2018-08-22 17:37:47.085000-04:00,Summer,1920,1080,79.409576416016,,44,0f9z46zlg0surz6cgfx294,,1534973867085.0,,"[0.8, 0, 0]",,0.72846739490235,,,,0.0,,,,,,1.0,False,,,,{'id': '204557424825873'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5a51ac08-742a-4808-90e9-440c6c03461c,Mapillary,305726617676665,Manual,52.10338819915131,9.356253147125244,2016-10-15 11:46:45.307000+02:00,Autumn,5152,3888,341.7961628437,perspective,116,XZQwfsj1dtR2xCJ7U0F2_g,,1476524805307.0,,"[0.82392751097877, 0.0086422238154332, 0.030016828956812]",,0.8780487804878,,,,127.70258664026,0.99533883649101,3.2769316583872,3.0165603135902,"{'type': 'Point', 'coordinates': [9.3563092605394, 52.103487786766]}","[1.5977929248374, -0.030716382621678, 0.051983849956793]",1.0,False,1.9932563729799e+18,"{'id': '324147852468104', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40361-6\\/An_-MBawr4ipyI1TzBI2MHbAyACNZ1Il-P24tdUdbUtMXl2sndIZG92X_9e4APGa7cn5Mpu9ScsRGWMLJvLoQjruHTcl__GYUuuVeXTrgCu9M8PWzD_rgC8ACi1iQJqwa1c?ccb=10-5&oh=00_AfD7sb8Zhz03LOKxhRqXYe8tXwBz7YTTb-NrunddXRKeJA&oe=643A8602&_nc_sid=d122da'}",,{'id': '480266336624569'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,58c85061-021f-4122-b3b5-a2470f35c341,Mapillary,871477950414260,Manual,47.90168187177011,1.902807354927063,2019-10-10 18:19:58.536000+02:00,Autumn,3968,2240,215.88600158691,perspective,62,yc607bwodhrnuab2ny6cxd,,1570724398536.0,,"[0.72697430603334, 0.019442306708106, -0.029222848323422]",,0.98192771084337,,,,172.88700100585,1.1355606360814,1.2760622408241,197.79578281417,"{'type': 'Point', 'coordinates': [1.9027918743938, 47.901715853478]}","[0.3427868243231, 2.1050148933005, -2.017462567253]",1.0,False,4.4733963629619e+18,"{'id': '225411032331265', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40361-6\\/An8HgSZgsJXon5XFg3idr7aEo6fpZRFTdrhxNJla4j6UDMZ63MUb5ZA1Sx51pV4DV1zuhXLNkxHyEWN923TEapGWmcFs0l8LJ0aGq20lJEZ49WTYe7rL6ukfAlgSTbXkqoc?ccb=10-5&oh=00_AfAzBZJVPIS9Nhwj3Ka5NFCvUBWbSqF0ock9cC4SueJulA&oe=643A7805&_nc_sid=d122da'}",,{'id': '200011808510828'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4f0e9070-13a5-4ea3-bcb9-6666862b2fad,Mapillary,390987432221616,Manual,47.90864749778194,1.9114923477172847,2021-06-12 11:42:27+02:00,Summer,5760,2880,0.0,spherical,259,8hYV6wxsLou2erKcIHfgqd,,1623490947000.0,,,,0.0,,,,157.775,0.99217699087597,1.575347410515,112.65793432267,"{'type': 'Point', 'coordinates': [1.9115243005915, 47.908664766553]}","[1.0291743880182, -1.5043759886632, 1.4991341145139]",1.0,True,265369465.0,"{'id': '485639419188678', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40361-6\\/An9yBQ5ZFkctZSSXp6U0Jh4EluctRLM43hrQezXwautnI1MWaUyagK2tawrjMrfEoEt3mtWk2YYPXMFwcu80veuKl2onh_riqg9pRXm3I3MVNSRJkbmDcXrd_2_bdA5Vzho?ccb=10-5&oh=00_AfDEaVJQW3HWpfbp6sKZW4ATie_d5Ls0nz6vazX_MhD3iQ&oe=643A82D4&_nc_sid=d122da'}",,"{'id': '782145762495425', 'url': 'https:\\/\\/scontent-xsp1-3.xx.fbcdn.net\\/m1\\/v\\/t0.40383-6\\/An-gXvdj-i9KR-0e01YqyoKYyZ6I0oWQ57r_BdaGtEP0Pu4JEeuz7mY83xD3_VfC8hgTXXQJsB7hyCdj1RIeoEXHV9iDXdoZ88aiRhGb_3J2jr7i3dhH3RN2l0nt5cJN7PDz8EMT73KE?ccb=10-5&oh=00_AfBLbRPuhZeiU2AdE3IrdcxBngsOxQ8sI2A5nF5ptWuAmg&oe=643A7547&_nc_sid=0f319a'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
