,uuid,source,orig_id,GID_0,COUNTRY,CC_1,ENGTYPE_1,GID_1,HASC_1,ISO_1,NAME_1,NL_NAME_1,TYPE_1,VARNAME_1,CC_2,ENGTYPE_2,GID_2,HASC_2,NAME_2,NL_NAME_2,TYPE_2,VARNAME_2,CC_3,ENGTYPE_3,GID_3,HASC_3,NAME_3,NL_NAME_3,TYPE_3,VARNAME_3,CC_4,ENGTYPE_4,GID_4,NAME_4,TYPE_4,VARNAME_4,CC_5,ENGTYPE_5,GID_5,NAME_5,TYPE_5
10,a794bad2-a826-47c7-8417-54ef6e9d3fd5,Mapillary,1085842441905172,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
11,a3ddd13d-a6bf-4abe-bc97-0e896ddbb58c,Mapillary,129497249124621,DEU,Germany,3.0,State,DEU.9_1,DE.NI,DE-NI,Niedersachsen,,Land,Lower Saxony,03252,District,DEU.9.16_1,DE.NI.HP,Hameln-Pyrmont,,Landkreis,,32520006.0,Municipality,DEU.9.16.6_1,,Hameln,,Einheitsgemeinde,,32520006006.0,Town,DEU.9.16.6.1_1,Hameln,Stadt,,,,,,
12,97fb0fd9-6b8e-480b-967b-ab86c89f427b,Mapillary,2643856569248041,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
13,964c05a7-364a-4a23-9e36-b9dae57e6709,Mapillary,216443753376621,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
14,8b301438-9498-489a-996e-2ec60cef760f,Mapillary,801320764136858,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
15,6fa67d91-0bf5-4914-a1c5-4859a6cedfbd,Mapillary,531109791599907,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
16,6c0dcd34-b7da-4324-8541-61da9c879b2f,Mapillary,555931662062869,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
17,5a51ac08-742a-4808-90e9-440c6c03461c,Mapillary,305726617676665,DEU,Germany,3.0,State,DEU.9_1,DE.NI,DE-NI,Niedersachsen,,Land,Lower Saxony,03252,District,DEU.9.16_1,DE.NI.HP,Hameln-Pyrmont,,Landkreis,,32520006.0,Municipality,DEU.9.16.6_1,,Hameln,,Einheitsgemeinde,,32520006006.0,Town,DEU.9.16.6.1_1,Hameln,Stadt,,,,,,
18,58c85061-021f-4122-b3b5-a2470f35c341,Mapillary,871477950414260,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
19,4f0e9070-13a5-4ea3-bcb9-6666862b2fad,Mapillary,390987432221616,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
20,4d2c563d-5241-49d1-addf-3c096c0534a2,Mapillary,886187308918211,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
21,4c352b2d-ec50-4c52-ad4c-24a67a0da110,Mapillary,2967575596859955,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
22,41c85f14-2ed6-42f7-b2f2-fd2318d70eea,Mapillary,149717844218275,DEU,Germany,3.0,State,DEU.9_1,DE.NI,DE-NI,Niedersachsen,,Land,Lower Saxony,03252,District,DEU.9.16_1,DE.NI.HP,Hameln-Pyrmont,,Landkreis,,32520006.0,Municipality,DEU.9.16.6_1,,Hameln,,Einheitsgemeinde,,32520006006.0,Town,DEU.9.16.6.1_1,Hameln,Stadt,,,,,,
23,3a4b60ca-5f62-4a3a-a255-e16a211554a9,Mapillary,912307629327688,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
24,3997a807-6d56-46e9-8675-337c2a505626,Mapillary,147369440641978,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
25,278347a2-48df-4d48-9f06-f1c5c937fca8,Mapillary,297817391952511,DEU,Germany,3.0,State,DEU.9_1,DE.NI,DE-NI,Niedersachsen,,Land,Lower Saxony,03252,District,DEU.9.16_1,DE.NI.HP,Hameln-Pyrmont,,Landkreis,,32520006.0,Municipality,DEU.9.16.6_1,,Hameln,,Einheitsgemeinde,,32520006006.0,Town,DEU.9.16.6.1_1,Hameln,Stadt,,,,,,
26,22deb7a3-0fc5-4723-9945-08e246b2e05c,Mapillary,162368295825256,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
27,22aab2fb-fcc3-47d6-a857-70227723494c,Mapillary,500236801200574,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
28,21da6685-c215-4b47-9a7d-8fefb790fcb2,Mapillary,2935461220075965,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
29,19c9cb57-4eb9-452a-966f-3da37a6a8a8a,Mapillary,908523803329750,DEU,Germany,3.0,State,DEU.9_1,DE.NI,DE-NI,Niedersachsen,,Land,Lower Saxony,03252,District,DEU.9.16_1,DE.NI.HP,Hameln-Pyrmont,,Landkreis,,32520006.0,Municipality,DEU.9.16.6_1,,Hameln,,Einheitsgemeinde,,32520006006.0,Town,DEU.9.16.6.1_1,Hameln,Stadt,,,,,,
30,175b878c-d03a-4655-b02f-759312fe58cc,Mapillary,1351283651916585,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
31,112eaf30-08be-450a-82f0-ebe271c1027a,Mapillary,776765546363571,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
32,08291c85-45e9-4b7e-9c7f-8319df8cacaa,Mapillary,1032840184186814,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
33,05752827-e598-41ab-b2ad-4db807a6b54a,Mapillary,982334042549854,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
34,013626b6-b16f-44d4-b3cc-909b58841580,Mapillary,523933542098228,CAN,Canada,35.0,Province,CAN.9_1,CA.ON,CA-ON,Ontario,,Province,Upper Canada,19,Regional Municipality,CAN.9.53_1,CA.ON.YO,York,,Regional Municipality,,,Town,CAN.9.53.1_1,,Aurora,,Town,,,,,,,,,,,,
35,009700da-2ab7-4e51-96ed-7bc3bc8df153,Mapillary,524061098757516,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
36,eb94b1f3-8f42-450f-affc-aae9824b58fe,KartaView,1504505833,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
37,d919a705-e19d-4924-9c61-ca66378d49d7,KartaView,1504508409,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
38,6a6fc3fb-a4fc-482d-96dd-b8be1c66e74d,KartaView,440181229,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
39,195a2083-f4bb-40b8-96cf-06779a7f20b9,KartaView,1504508985,FRA,France,,Region,FRA.4_1,FR.CN,FR-CVL,Centre-Val de Loire,,Région,,45,Department,FRA.4.6_1,FR.LT,Loiret,,Département,,,Districts,FRA.4.6.2_1,,Orléans,,Arrondissement,,,Canton,FRA.4.6.2.13_1,Orléans,Canton,,,Commune,FRA.4.6.2.13.1_1,Orléans,Préfecture de région
