uuid,source,orig_id,h3_0,h3_1,h3_2,h3_3,h3_4,h3_5,h3_6,h3_7,h3_8,h3_9,h3_10,h3_11,h3_12,h3_13,h3_14,h3_15
d39b5e69-6291-46fc-a2f8-5947a7e024ee,Mapillary,1666317524185318,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7a87fffff,891faa7a873ffff,8a1faa7a8717fff,8b1faa7a8715fff,8c1faa7a8710bff,8d1faa7a8710b7f,8e1faa7a8710b77,8f1faa7a8710b75
07968c89-5a2a-4913-a870-7eaab4830be5,Mapillary,1014949793367409,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7a81fffff,891faa7a803ffff,8a1faa7a8007fff,8b1faa7a8000fff,8c1faa7a80003ff,8d1faa7a800027f,8e1faa7a8000247,8f1faa7a8000244
f8be9181-606c-4f23-88c5-2608d6cdea7b,Mapillary,2762100457273030,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7a85fffff,891faa7a847ffff,8a1faa7a846ffff,8b1faa7a846bfff,8c1faa7a846b3ff,8d1faa7a846b3bf,8e1faa7a846b387,8f1faa7a846b380
b9929935-7b0c-4c57-aca5-8f01fa37ee8b,Mapillary,1165840751204664,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7a81fffff,891faa7a81bffff,8a1faa7a819ffff,8b1faa7a819efff,8c1faa7a819e9ff,8d1faa7a819e93f,8e1faa7a819e917,8f1faa7a819e911
c10b66a3-68bd-4dcf-9a86-6b17806e1dfc,Mapillary,1517629215831295,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7aabfffff,891faa7aab7ffff,8a1faa7aab67fff,8b1faa7aab63fff,8c1faa7aab639ff,8d1faa7aab6393f,8e1faa7aab63907,8f1faa7aab63903
9e59f7c8-e257-454f-8c92-be170551b40a,Mapillary,850322603100271,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7aabfffff,891faa7aab7ffff,8a1faa7aab67fff,8b1faa7aab62fff,8c1faa7aab623ff,8d1faa7aab6237f,8e1faa7aab62367,8f1faa7aab62361
5c7419a7-1eb3-4f51-bdd9-4a9d1f779fcf,Mapillary,481316367599393,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7a8dfffff,891faa7a8c7ffff,8a1faa7a8c47fff,8b1faa7a8c44fff,8c1faa7a8c447ff,8d1faa7a8c4477f,8e1faa7a8c44777,8f1faa7a8c44775
1d4e279d-be29-4841-8387-338380d8e4d1,Mapillary,1000464345048263,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7a87fffff,891faa7a87bffff,8a1faa7a8797fff,8b1faa7a8792fff,8c1faa7a8792dff,8d1faa7a8792c7f,8e1faa7a8792c6f,8f1faa7a8792c6e
1b7c5e34-f26d-4f36-ac1c-39e86d4d0aaa,Mapillary,1396928564313469,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7a8ffffff,881faa7a87fffff,891faa7a87bffff,8a1faa7a87a7fff,8b1faa7a87a1fff,8c1faa7a87a1bff,8d1faa7a87a1bbf,8e1faa7a87a1ba7,8f1faa7a87a1ba1
d7d15de2-f310-4425-9342-b39882cf1a94,Mapillary,445373105052397,801ffffffffffff,811fbffffffffff,821faffffffffff,831faafffffffff,841faa7ffffffff,851faa7bfffffff,861faa7afffffff,871faa7aaffffff,881faa7aabfffff,891faa7aab3ffff,8a1faa7aab0ffff,8b1faa7aab0dfff,8c1faa7aab0d7ff,8d1faa7aab0d63f,8e1faa7aab0d60f,8f1faa7aab0d60a
