uuid,source,orig_id,lat,lon,datetime_local,year,month,day,hour,width,height,heading,projection_type,hFoV,vFoV,sequence_index,sequence_id,sequence_img_count
d39b5e69-6291-46fc-a2f8-5947a7e024ee,Mapillary,1666317524185318,48.76894355452018,9.1716206073761,2024-07-09 03:24:18.913000+02:00,2024,7,9,3,7680.0,3840.0,29.87899474976217,spherical,,,1330,aE5o7bTMH0UtscOYxhVwID,660
07968c89-5a2a-4913-a870-7eaab4830be5,Mapillary,1014949793367409,48.77470990589797,9.172371625900269,2024-07-09 03:26:19.834000+02:00,2024,7,9,3,7680.0,3840.0,306.4146016045309,spherical,,,1586,aE5o7bTMH0UtscOYxhVwID,660
f8be9181-606c-4f23-88c5-2608d6cdea7b,Mapillary,2762100457273030,48.76964361287517,9.169775247573853,2024-07-07 21:33:39.769000+02:00,2024,7,7,21,4032.0,3024.0,157.37857520322677,perspective,100.17182580189085,83.75511531847577,25,VWRknQTjyX4sEMFlL8CP7h,50
b9929935-7b0c-4c57-aca5-8f01fa37ee8b,Mapillary,1165840751204664,48.7733205267962,9.167028665542604,2024-07-07 21:31:16.047000+02:00,2024,7,7,21,4032.0,3024.0,156.26366928077235,perspective,101.06243827453136,84.6566112497355,222,Jw7VROdnpD2BMjaQoLAFXe,161
c10b66a3-68bd-4dcf-9a86-6b17806e1dfc,Mapillary,1517629215831295,48.7649622290061,9.168434143066406,2024-07-09 03:23:04.172000+02:00,2024,7,9,3,7680.0,3840.0,28.41663791127553,spherical,,,1169,aE5o7bTMH0UtscOYxhVwID,660
9e59f7c8-e257-454f-8c92-be170551b40a,Mapillary,850322603100271,48.764753607332096,9.168165922164915,2024-07-09 03:22:59.701000+02:00,2024,7,9,3,7680.0,3840.0,52.24188758598325,spherical,,,1159,aE5o7bTMH0UtscOYxhVwID,660
5c7419a7-1eb3-4f51-bdd9-4a9d1f779fcf,Mapillary,481316367599393,48.77683455632163,9.164394736289978,2024-06-09 11:19:52+02:00,2024,6,9,11,4000.0,3000.0,261.371,perspective,93.21041687063804,76.8462217262694,147,xHUWVkul6BrJRGbPnApeaQ,188
1d4e279d-be29-4841-8387-338380d8e4d1,Mapillary,1000464345048263,48.76562344790744,9.168986678123474,2024-07-09 03:23:15.951000+02:00,2024,7,9,3,7680.0,3840.0,30.232921711537017,spherical,,,1196,aE5o7bTMH0UtscOYxhVwID,660
1b7c5e34-f26d-4f36-ac1c-39e86d4d0aaa,Mapillary,1396928564313469,48.7680949858532,9.170944690704346,2024-07-09 03:24:03.698000+02:00,2024,7,9,3,7680.0,3840.0,28.392035375289936,spherical,,,1296,aE5o7bTMH0UtscOYxhVwID,660
d7d15de2-f310-4425-9342-b39882cf1a94,Mapillary,445373105052397,48.763611476706814,9.166057705879211,2024-07-09 03:21:48.563000+02:00,2024,7,9,3,7680.0,3840.0,64.4110907739261,spherical,,,1090,aE5o7bTMH0UtscOYxhVwID,660
026520e1-9a76-4110-b413-d960e6402a09,Mapillary,1133863157714716,48.76444244119111,9.167747497558594,2024-07-09 03:22:50.392000+02:00,2024,7,9,3,7680.0,3840.0,50.248378067762985,spherical,,,1144,aE5o7bTMH0UtscOYxhVwID,660
5b98d3fe-b33b-4fc5-b7bd-0fa2bcd105c7,Mapillary,485731497515639,48.76343467397885,9.165258407592772,2024-07-09 03:21:39.087000+02:00,2024,7,9,3,7680.0,3840.0,73.04786065046056,spherical,,,1070,aE5o7bTMH0UtscOYxhVwID,660
3e736d74-dd8f-4715-b99a-936f355dc671,Mapillary,489141386945280,48.76964361287517,9.172237515449524,2024-07-09 03:24:31.960000+02:00,2024,7,9,3,7680.0,3840.0,30.752091688792973,spherical,,,1359,aE5o7bTMH0UtscOYxhVwID,660
dc319893-b358-4912-8d76-7216113af96d,Mapillary,974000961115644,48.77204424391789,9.167892336845398,2024-06-09 11:13:58+02:00,2024,6,9,11,4000.0,3000.0,138.694,perspective,92.1569342259321,75.82144129585427,247,bwGfoP2ATys36IDLOknCYJ,239
5e931a8d-7a23-4763-9e6d-736764d2b41c,Mapillary,1419127005466124,48.771220476245134,9.17358934879303,2024-07-09 03:25:02.457000+02:00,2024,7,9,3,7680.0,3840.0,36.97196314952822,spherical,,,1424,aE5o7bTMH0UtscOYxhVwID,660
c5201d60-2e23-4243-87a4-954fc7ccc981,Mapillary,1409660647095500,48.77214677199578,9.167919158935549,2024-07-07 21:31:59.730000+02:00,2024,7,7,21,4032.0,3024.0,148.80678675322142,perspective,101.12788094708797,84.72301420195166,251,Jw7VROdnpD2BMjaQoLAFXe,161
db1c7a8f-d283-4d0f-bda4-f70d60706ae7,Mapillary,1656339628530936,48.77438466029312,9.17311191558838,2024-07-09 03:26:09.591000+02:00,2024,7,9,3,7680.0,3840.0,297.1658418360968,spherical,,,1565,aE5o7bTMH0UtscOYxhVwID,660
24cae8a9-04f5-4487-bbb2-562de380f6b3,Mapillary,462437353066378,48.77265940924463,9.167543649673462,2024-07-07 21:31:48.671000+02:00,2024,7,7,21,4032.0,3024.0,148.3576016522563,perspective,101.12788094708797,84.72301420195166,241,Jw7VROdnpD2BMjaQoLAFXe,161
97efc8ad-21ac-4c6d-adc2-9ec807317522,Mapillary,846943653559331,48.773225071858576,9.167119860649109,2024-07-07 21:31:34.647000+02:00,2024,7,7,21,4032.0,3024.0,140.7736323930817,perspective,101.12788094708797,84.72301420195166,228,Jw7VROdnpD2BMjaQoLAFXe,161
