uuid,source,orig_id,timezone,utc_offset_s,calculated_day_night,hrs_aft_sunrise,hrs_aft_sunset
d39b5e69-6291-46fc-a2f8-5947a7e024ee,Mapillary,1666317524185318,Europe/Berlin,7200.0,night,-2.11,
07968c89-5a2a-4913-a870-7eaab4830be5,Mapillary,1014949793367409,Europe/Berlin,7200.0,night,-2.07,
f8be9181-606c-4f23-88c5-2608d6cdea7b,Mapillary,2762100457273030,Europe/Berlin,7200.0,night,,0.11
b9929935-7b0c-4c57-aca5-8f01fa37ee8b,Mapillary,1165840751204664,Europe/Berlin,7200.0,night,,0.07
c10b66a3-68bd-4dcf-9a86-6b17806e1dfc,Mapillary,1517629215831295,Europe/Berlin,7200.0,night,-2.13,
9e59f7c8-e257-454f-8c92-be170551b40a,Mapillary,850322603100271,Europe/Berlin,7200.0,night,-2.13,
5c7419a7-1eb3-4f51-bdd9-4a9d1f779fcf,Mapillary,481316367599393,Europe/Berlin,7200.0,day,5.99,
1d4e279d-be29-4841-8387-338380d8e4d1,Mapillary,1000464345048263,Europe/Berlin,7200.0,night,-2.13,
1b7c5e34-f26d-4f36-ac1c-39e86d4d0aaa,Mapillary,1396928564313469,Europe/Berlin,7200.0,night,-2.11,
d7d15de2-f310-4425-9342-b39882cf1a94,Mapillary,445373105052397,Europe/Berlin,7200.0,night,-2.15,
026520e1-9a76-4110-b413-d960e6402a09,Mapillary,1133863157714716,Europe/Berlin,7200.0,night,-2.13,
5b98d3fe-b33b-4fc5-b7bd-0fa2bcd105c7,Mapillary,485731497515639,Europe/Berlin,7200.0,night,-2.15,
3e736d74-dd8f-4715-b99a-936f355dc671,Mapillary,489141386945280,Europe/Berlin,7200.0,night,-2.1,
dc319893-b358-4912-8d76-7216113af96d,Mapillary,974000961115644,Europe/Berlin,7200.0,day,5.89,
5e931a8d-7a23-4763-9e6d-736764d2b41c,Mapillary,1419127005466124,Europe/Berlin,7200.0,night,-2.1,
c5201d60-2e23-4243-87a4-954fc7ccc981,Mapillary,1409660647095500,Europe/Berlin,7200.0,night,,0.08
db1c7a8f-d283-4d0f-bda4-f70d60706ae7,Mapillary,1656339628530936,Europe/Berlin,7200.0,night,-2.08,
24cae8a9-04f5-4487-bbb2-562de380f6b3,Mapillary,462437353066378,Europe/Berlin,7200.0,night,,0.08
97efc8ad-21ac-4c6d-adc2-9ec807317522,Mapillary,846943653559331,Europe/Berlin,7200.0,night,,0.07
3809c80d-7394-41a2-93fd-8c62b209587f,Mapillary,1418312295551765,Europe/Berlin,7200.0,day,5.92,
d9417538-cd5f-4c64-8a5d-11dc99b0a640,Mapillary,1183330716275511,Europe/Berlin,7200.0,night,,0.05
3e778a02-5ef2-4180-a16f-df1015a46af3,Mapillary,504217845596840,Europe/Berlin,7200.0,night,-2.1,
7be3fe0e-e962-4279-929b-08d3cea54311,Mapillary,1510549809543334,Europe/Berlin,7200.0,day,5.98,
adc306de-52c8-44cf-8f44-5e1abc046900,Mapillary,330004030172339,Europe/Berlin,7200.0,night,-2.08,
1c3b0169-9fbf-47f1-8e27-7743260507d1,Mapillary,1169186977655824,Europe/Berlin,7200.0,night,-2.11,
7046af87-1888-40b9-904c-cc32ddc69758,Mapillary,1150126416233475,Europe/Berlin,7200.0,day,5.88,
14c82e89-ea47-4f5f-99c2-e04888652d29,Mapillary,1557869048494817,Europe/Berlin,7200.0,day,5.9,
ac9263d9-b0c6-417e-802f-9b5efe61cf98,Mapillary,483343130885198,Europe/Berlin,7200.0,day,5.9,
0b0a384a-a082-4985-9647-1a8f91627315,Mapillary,1471447367586114,Europe/Berlin,7200.0,night,-2.05,
86ae53c7-9f3d-4cf2-8aab-2497d0105c8c,Mapillary,1498926294053496,Europe/Berlin,7200.0,night,-2.06,
0c96a738-abbc-4c9c-a1e3-45a27f81b7b3,Mapillary,3926852070925164,Europe/Berlin,7200.0,day,5.87,
d47bbcc4-2c98-42a2-9c63-9160cb379b0b,Mapillary,3800652013535060,Europe/Berlin,7200.0,night,,0.05
2f8e5149-2922-4fdc-bea4-02dfde5fa9b5,Mapillary,1525354508399276,Europe/Berlin,7200.0,night,,0.06
f5a6fa21-de11-44ec-8129-537acf92925c,Mapillary,1082704200090293,Europe/Berlin,7200.0,night,-2.13,
016b872d-a76a-4ab8-b5cb-cb27e2275dff,Mapillary,1198455021177271,Europe/Berlin,7200.0,night,-2.15,
a9dab29f-c24e-4acb-b1ab-5756a2239772,Mapillary,1459385814782176,Europe/Berlin,7200.0,day,5.9,
8a20cc96-b035-4ded-9262-a3ee0e85616e,Mapillary,396666609530984,Europe/Berlin,7200.0,night,-2.13,
035b478c-b8a7-4b58-8c93-32064d9422bb,Mapillary,1129612571431869,Europe/Berlin,7200.0,night,-2.12,
e0e933fb-7c56-4329-8e8a-30832e53ae49,Mapillary,975915334254946,Europe/Berlin,7200.0,day,5.9,
9e2cf818-240a-495e-a334-ec85f9874160,Mapillary,1146157839781732,Europe/Berlin,7200.0,night,-2.05,
d3bff3c5-035a-4b36-b5b5-3d0c52884b5a,Mapillary,928642498949228,Europe/Berlin,7200.0,night,-2.13,
