uuid,source,orig_id,mly_sfm_cluster.id,mly_sfm_cluster.url
d39b5e69-6291-46fc-a2f8-5947a7e024ee,Mapillary,1666317524185318,1018738539272846.0,
07968c89-5a2a-4913-a870-7eaab4830be5,Mapillary,1014949793367409,988066229627404.0,
f8be9181-606c-4f23-88c5-2608d6cdea7b,Mapillary,2762100457273030,1160628541656852.0,
b9929935-7b0c-4c57-aca5-8f01fa37ee8b,Mapillary,1165840751204664,680444067598418.0,
c10b66a3-68bd-4dcf-9a86-6b17806e1dfc,Mapillary,1517629215831295,6378155729136239.0,
9e59f7c8-e257-454f-8c92-be170551b40a,Mapillary,850322603100271,6378155729136239.0,
5c7419a7-1eb3-4f51-bdd9-4a9d1f779fcf,Mapillary,481316367599393,2197868900577594.0,
1d4e279d-be29-4841-8387-338380d8e4d1,Mapillary,1000464345048263,6378155729136239.0,
1b7c5e34-f26d-4f36-ac1c-39e86d4d0aaa,Mapillary,1396928564313469,1018738539272846.0,
d7d15de2-f310-4425-9342-b39882cf1a94,Mapillary,445373105052397,1611386306260864.0,
026520e1-9a76-4110-b413-d960e6402a09,Mapillary,1133863157714716,6378155729136239.0,
5b98d3fe-b33b-4fc5-b7bd-0fa2bcd105c7,Mapillary,485731497515639,1611386306260864.0,
3e736d74-dd8f-4715-b99a-936f355dc671,Mapillary,489141386945280,469224655826973.0,
dc319893-b358-4912-8d76-7216113af96d,Mapillary,974000961115644,504212178614871.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An_0Dkp3lPQucscUpququOzV0eOkakVwSA0k48lEMspj3o2bOKNtiEI08Ry9XwDutsN3auYrZnCB6HW5PCQ_-Ec-cCjzAJF_9MWl2C8yzf6B90orsUh4VjO8p5-k1jVzpj19aUp83yXQ3w?ccb=10-5&oh=00_AYBJBuzeW43BS8NwS1frp6vwBxHAsGA-Zdrwt4nRcqDpkw&oe=66BDF316&_nc_sid=fbd883
5e931a8d-7a23-4763-9e6d-736764d2b41c,Mapillary,1419127005466124,469224655826973.0,
c5201d60-2e23-4243-87a4-954fc7ccc981,Mapillary,1409660647095500,1266816281390461.0,
db1c7a8f-d283-4d0f-bda4-f70d60706ae7,Mapillary,1656339628530936,809158371322783.0,
24cae8a9-04f5-4487-bbb2-562de380f6b3,Mapillary,462437353066378,1266816281390461.0,
97efc8ad-21ac-4c6d-adc2-9ec807317522,Mapillary,846943653559331,1266816281390461.0,
3809c80d-7394-41a2-93fd-8c62b209587f,Mapillary,1418312295551765,486601897187529.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9BDsv9vbgNB9Bx6pyGG192hQmm9M-wv-rxVW5NTNpbUyohZeXH8jbrhw706EZ9CrSy6vzqft1UEtVMFELQXl1zLr3Esw2jQIgf7YOOb1b8j4aepXaBJiEAgaWjlCPrC-tlTcRPoj7Msg?ccb=10-5&oh=00_AYBOR-P-MgDY9kkmgf-k7Zl7jqb1eyAPyCyQ1yfvqhu0DQ&oe=66BDE622&_nc_sid=fbd883
d9417538-cd5f-4c64-8a5d-11dc99b0a640,Mapillary,1183330716275511,680444067598418.0,
3e778a02-5ef2-4180-a16f-df1015a46af3,Mapillary,504217845596840,469224655826973.0,
7be3fe0e-e962-4279-929b-08d3cea54311,Mapillary,1510549809543334,2197868900577594.0,
adc306de-52c8-44cf-8f44-5e1abc046900,Mapillary,330004030172339,988066229627404.0,
1c3b0169-9fbf-47f1-8e27-7743260507d1,Mapillary,1169186977655824,1018738539272846.0,
7046af87-1888-40b9-904c-cc32ddc69758,Mapillary,1150126416233475,1554489278745575.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9h0ZsZSl7Y2j0ZliUhXenlCHhFUe47nFlAUtQoLgbdsUP0u8S_rx_skSUFFxvXWhCmezlm6VRNwhECaJFT0mmOpDK4tGNGGrV1YSfXtUaxbYA9fNw16ypJ-UtQzRGs1jKMaLR7R5913Q?ccb=10-5&oh=00_AYDucHyXb0coCmMIKs3SK2Y_aV40k9RHc20wmxsshwyIjA&oe=66BDC1F6&_nc_sid=fbd883
14c82e89-ea47-4f5f-99c2-e04888652d29,Mapillary,1557869048494817,504212178614871.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An_0Dkp3lPQucscUpququOzV0eOkakVwSA0k48lEMspj3o2bOKNtiEI08Ry9XwDutsN3auYrZnCB6HW5PCQ_-Ec-cCjzAJF_9MWl2C8yzf6B90orsUh4VjO8p5-k1jVzpj19aUp83yXQ3w?ccb=10-5&oh=00_AYBJBuzeW43BS8NwS1frp6vwBxHAsGA-Zdrwt4nRcqDpkw&oe=66BDF316&_nc_sid=fbd883
ac9263d9-b0c6-417e-802f-9b5efe61cf98,Mapillary,483343130885198,486601897187529.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9BDsv9vbgNB9Bx6pyGG192hQmm9M-wv-rxVW5NTNpbUyohZeXH8jbrhw706EZ9CrSy6vzqft1UEtVMFELQXl1zLr3Esw2jQIgf7YOOb1b8j4aepXaBJiEAgaWjlCPrC-tlTcRPoj7Msg?ccb=10-5&oh=00_AYBOR-P-MgDY9kkmgf-k7Zl7jqb1eyAPyCyQ1yfvqhu0DQ&oe=66BDE622&_nc_sid=fbd883
0b0a384a-a082-4985-9647-1a8f91627315,Mapillary,1471447367586114,7878841428863067.0,
86ae53c7-9f3d-4cf2-8aab-2497d0105c8c,Mapillary,1498926294053496,7878841428863067.0,
0c96a738-abbc-4c9c-a1e3-45a27f81b7b3,Mapillary,3926852070925164,1554489278745575.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9h0ZsZSl7Y2j0ZliUhXenlCHhFUe47nFlAUtQoLgbdsUP0u8S_rx_skSUFFxvXWhCmezlm6VRNwhECaJFT0mmOpDK4tGNGGrV1YSfXtUaxbYA9fNw16ypJ-UtQzRGs1jKMaLR7R5913Q?ccb=10-5&oh=00_AYDucHyXb0coCmMIKs3SK2Y_aV40k9RHc20wmxsshwyIjA&oe=66BDC1F6&_nc_sid=fbd883
d47bbcc4-2c98-42a2-9c63-9160cb379b0b,Mapillary,3800652013535060,680444067598418.0,
2f8e5149-2922-4fdc-bea4-02dfde5fa9b5,Mapillary,1525354508399276,680444067598418.0,
f5a6fa21-de11-44ec-8129-537acf92925c,Mapillary,1082704200090293,6378155729136239.0,
016b872d-a76a-4ab8-b5cb-cb27e2275dff,Mapillary,1198455021177271,1611386306260864.0,
a9dab29f-c24e-4acb-b1ab-5756a2239772,Mapillary,1459385814782176,504212178614871.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An_0Dkp3lPQucscUpququOzV0eOkakVwSA0k48lEMspj3o2bOKNtiEI08Ry9XwDutsN3auYrZnCB6HW5PCQ_-Ec-cCjzAJF_9MWl2C8yzf6B90orsUh4VjO8p5-k1jVzpj19aUp83yXQ3w?ccb=10-5&oh=00_AYBJBuzeW43BS8NwS1frp6vwBxHAsGA-Zdrwt4nRcqDpkw&oe=66BDF316&_nc_sid=fbd883
8a20cc96-b035-4ded-9262-a3ee0e85616e,Mapillary,396666609530984,6378155729136239.0,
035b478c-b8a7-4b58-8c93-32064d9422bb,Mapillary,1129612571431869,1569749970423260.0,
e0e933fb-7c56-4329-8e8a-30832e53ae49,Mapillary,975915334254946,504212178614871.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An_0Dkp3lPQucscUpququOzV0eOkakVwSA0k48lEMspj3o2bOKNtiEI08Ry9XwDutsN3auYrZnCB6HW5PCQ_-Ec-cCjzAJF_9MWl2C8yzf6B90orsUh4VjO8p5-k1jVzpj19aUp83yXQ3w?ccb=10-5&oh=00_AYBJBuzeW43BS8NwS1frp6vwBxHAsGA-Zdrwt4nRcqDpkw&oe=66BDF316&_nc_sid=fbd883
9e2cf818-240a-495e-a334-ec85f9874160,Mapillary,1146157839781732,7878841428863067.0,
d3bff3c5-035a-4b36-b5b5-3d0c52884b5a,Mapillary,928642498949228,1569749970423260.0,
61dbe12c-b5aa-4438-8fd0-5fc1c912bc78,Mapillary,1491143688160660,439282129021989.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An81hqM3Gcjgu2tBh08dzr8ikDY69b2LqV3InEUdcfarXT8CneJWhP9M0N4FWIx6F9nNS9mpKPmUQVB2uJomthb7vHY97l5fWEASgAnQuSBo1bjqJynCAtq6mlrvcVEneCzLRnW4tSoOXw?ccb=10-5&oh=00_AYBsF8znmSZs-aGct5AAb-xtpCfl3GvXLr3l7sz0Gc9VDw&oe=66BDF827&_nc_sid=fbd883
995fa419-80ae-41c5-b8bb-04e77ae3995d,Mapillary,449592771173658,988066229627404.0,
f9eb4401-f6af-4f0d-bada-6c48a52e4d6f,Mapillary,782535137421700,680444067598418.0,
554c6f14-12be-4dd2-b951-a29b01f61299,Mapillary,468305245806679,1569749970423260.0,
054abda2-d686-4e78-b674-4f8f57a7d538,Mapillary,1302743154018830,2197868900577594.0,
e83cde50-3d61-4374-88db-8c21fe1d1600,Mapillary,293188713817288,1018738539272846.0,
2cd254ad-c049-423f-b37d-b3904e137ef2,Mapillary,345997618521041,1554489278745575.0,https://scontent-xsp1-3.xx.fbcdn.net/m1/v/t0.40383-6/An9h0ZsZSl7Y2j0ZliUhXenlCHhFUe47nFlAUtQoLgbdsUP0u8S_rx_skSUFFxvXWhCmezlm6VRNwhECaJFT0mmOpDK4tGNGGrV1YSfXtUaxbYA9fNw16ypJ-UtQzRGs1jKMaLR7R5913Q?ccb=10-5&oh=00_AYDucHyXb0coCmMIKs3SK2Y_aV40k9RHc20wmxsshwyIjA&oe=66BDC1F6&_nc_sid=fbd883
