,sequenceIndex,id
0,0,1506455990270022
1,1,1153839729155747
2,2,2719673378215208
3,3,3861180364167911
4,4,449444707830916
5,5,443505958457791
6,6,3631658103766504
7,7,1423624719039079
8,8,796451945593741
9,9,1380729215927805
10,10,829830751979065
11,11,492421279908587
12,12,1827678500973258
13,13,7522259744549996
14,14,450480427795600
15,15,2896380863873018
16,16,504311735499797
17,17,497601619367122
18,18,1920871745018399
19,19,978168667337446
20,20,1489909734986004
21,21,759687526245218
