,sequenceIndex,id
0,0,1170070857325735
1,1,3741010522803177
2,2,818127203716579
3,3,1135595444467237
4,4,1983271625453487
5,5,440912188811830
6,6,369475112817847
7,7,1193013402049073
8,8,386868367700356
9,9,2185988181739977
10,10,1218039452546972
11,11,1213866929644460
12,12,991479318912858
13,13,459866269997967
14,14,995835895321687
15,15,1015032456950571
